Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00000,000000001,022.25,21.20,000.00,0
00001,000000500,022.25,21.20,000.00,0
00002,000001000,022.50,21.21,000.00,0
00003,000001500,022.50,21.21,000.00,0
00004,000002000,022.50,21.21,000.00,0
00005,000002500,022.50,21.20,000.00,0
00006,000003000,022.50,21.20,000.00,0
00007,000003500,022.75,21.22,000.00,0
00008,000004000,022.50,21.21,000.00,0
00009,000004500,022.25,21.21,000.00,0
00010,000005000,022.25,21.21,000.00,0
00011,000005500,022.75,21.21,000.00,0
00012,000006000,022.50,21.22,000.00,0
00013,000006500,022.00,21.21,000.00,0
00014,000007000,022.00,21.21,000.00,0
00015,000007500,022.00,21.22,000.00,0
00016,000008000,023.00,21.21,000.00,0
00017,000008500,022.25,21.20,000.00,0
00018,000009000,022.25,21.20,000.00,0
00019,000009500,022.25,21.21,000.00,0
00020,000010000,022.75,21.21,000.00,0
00021,000010500,022.75,21.21,000.00,0
00022,000011000,022.75,21.21,000.00,0
00023,000011500,022.50,21.21,000.00,0
00024,000012000,022.25,21.21,000.00,0
00025,000012500,022.50,21.21,000.00,0
00026,000013000,022.50,21.21,000.00,0
00027,000013500,022.50,21.21,000.00,0
00028,000014000,022.25,21.22,000.00,0
00029,000014500,022.50,21.21,000.00,0
00030,000015000,022.50,21.21,000.00,0
00031,000015500,022.50,21.20,000.00,0
00032,000016000,022.50,21.21,000.00,0
00033,000016500,022.50,21.21,000.00,0
00034,000017000,022.50,21.21,000.00,0
00035,000017500,022.50,21.21,000.00,0
00036,000018000,022.50,21.22,000.00,0
00037,000018500,022.25,21.21,000.00,0
00038,000019000,022.25,21.21,000.00,0
00039,000019500,022.50,21.21,000.00,0
00040,000020000,022.25,21.22,000.00,0
00041,000020500,022.25,21.22,000.00,0
00042,000021000,022.50,21.21,000.00,0
00043,000021500,022.50,21.21,000.00,0
00044,000022000,022.50,21.21,000.00,0
00045,000022500,022.50,21.21,000.00,0
00046,000023000,022.50,21.21,000.00,0
00047,000023500,022.50,21.21,000.00,0
00048,000024000,022.50,21.21,000.00,0
00049,000024500,022.50,21.21,000.00,0
00050,000025000,022.00,21.21,000.00,0
00051,000025500,022.75,21.20,000.00,0
00052,000026000,022.50,21.21,000.00,0
00053,000026500,022.50,21.21,000.00,0
00054,000027000,022.50,21.21,000.00,0
00055,000027500,022.75,21.20,000.00,0
00056,000028000,022.25,21.21,000.00,0
00057,000028500,022.25,21.21,000.00,0
00058,000029000,022.50,21.21,000.00,0
00059,000029500,022.50,21.19,000.00,0
00060,000030000,022.50,21.21,100.00,0
00061,000030500,022.50,21.21,100.00,0
00062,000031000,022.50,21.20,100.00,0
00063,000031500,022.75,21.20,100.00,0
00064,000032000,022.50,21.21,100.00,0
00065,000032500,022.50,21.21,100.00,0
00066,000033000,022.50,21.21,100.00,0
00067,000033500,022.00,21.20,100.00,0
00068,000034000,022.00,21.21,100.00,0
00069,000034500,022.00,21.21,100.00,0
00070,000035000,022.25,21.21,100.00,0
00071,000035500,022.25,21.20,100.00,0
00072,000036000,022.25,21.20,100.00,0
00073,000036500,022.25,21.20,100.00,0
00074,000037000,022.25,21.20,100.00,0
00075,000037500,022.25,21.20,100.00,0
00076,000038000,022.25,21.20,100.00,0
00077,000038500,022.25,21.19,100.00,0
00078,000039000,022.00,21.19,100.00,0
00079,000039500,022.00,21.21,100.00,0
00080,000040000,022.00,21.21,100.00,0
00081,000040500,021.75,21.20,100.00,0
00082,000041000,022.50,21.20,100.00,0
00083,000041500,022.25,21.19,100.00,0
00084,000042000,022.25,21.19,100.00,0
00085,000042500,022.00,21.19,100.00,0
00086,000043000,022.25,21.20,100.00,0
00087,000043500,022.50,21.19,100.00,0
00088,000044000,022.50,21.19,100.00,0
00089,000044500,022.75,21.20,100.00,0
00090,000045000,022.75,21.19,100.00,0
00091,000045500,022.50,21.18,100.00,0
00092,000046000,022.50,21.18,100.00,0
00093,000046500,022.75,21.19,100.00,0
00094,000047000,023.00,21.19,100.00,0
00095,000047500,023.25,21.19,100.00,0
00096,000048000,023.25,21.19,100.00,0
00097,000048500,023.00,21.19,100.00,0
00098,000049000,023.75,21.18,100.00,0
00099,000049500,023.50,21.19,100.00,0
00100,000050000,023.50,21.19,100.00,0
00101,000050500,023.50,21.18,100.00,0
00102,000051000,023.50,21.18,100.00,0
00103,000051500,023.50,21.18,100.00,0
00104,000052000,023.75,21.19,100.00,0
00105,000052500,024.00,21.18,100.00,0
00106,000053000,023.75,21.18,100.00,0
00107,000053500,023.75,21.18,100.00,0
00108,000054000,024.50,21.18,100.00,0
00109,000054500,024.25,21.18,100.00,0
00110,000055000,025.00,21.17,100.00,0
00111,000055500,025.00,21.17,100.00,0
00112,000056000,025.00,21.18,100.00,0
00113,000056500,025.25,21.19,100.00,0
00114,000057000,025.50,21.17,100.00,0
00115,000057500,025.50,21.17,100.00,0
00116,000058000,025.50,21.17,100.00,0
