,Time (ms),Reference Temperature (C),Control (percent)
244,122000,40.0,30.0
245,122500,40.0,30.0
246,123000,40.0,30.0
247,123500,40.0,30.0
248,124000,40.0,30.0
249,124500,40.0,30.0
250,125000,40.0,30.0
251,125500,40.0,30.0
252,126000,40.0,30.0
253,126500,40.0,30.0
254,127000,40.0,30.0
255,127500,40.0,30.0
256,128000,40.0,30.0
257,128500,40.0,30.0
258,129000,40.0,30.0
259,129500,40.0,30.0
260,130000,40.0,30.0
261,130500,40.0,30.0
262,131000,40.0,30.0
263,131500,40.0,30.0
264,132000,40.0,30.0
265,132500,40.0,30.0
266,133000,40.0,30.0
267,133500,40.0,30.0
268,134000,40.0,30.0
269,134500,40.0,30.0
270,135000,40.0,30.0
271,135500,40.0,30.0
272,136000,40.0,30.0
273,136500,40.0,30.0
274,137000,40.0,30.0
275,137500,40.0,30.0
276,138000,40.0,30.0
277,138500,40.0,30.0
278,139000,40.0,30.0
279,139500,40.0,30.0
280,140000,40.0,30.0
281,140500,40.0,30.0
282,141000,40.0,30.0
283,141500,40.0,30.0
284,142000,40.0,30.0
285,142500,40.0,30.0
286,143000,40.0,30.0
287,143500,40.0,30.0
288,144000,40.0,30.0
289,144500,40.0,30.0
290,145000,40.0,30.0
291,145500,40.0,30.0
292,146000,40.0,30.0
293,146500,40.0,30.0
294,147000,40.0,30.0
295,147500,40.0,30.0
296,148000,40.0,30.0
297,148500,40.0,30.0
298,149000,40.0,30.0
299,149500,40.0,30.0
300,150000,40.0,30.0
301,150500,40.0,30.0
302,151000,40.0,30.0
303,151500,40.0,30.0
304,152000,40.0,30.0
305,152500,40.0,30.0
306,153000,40.0,30.0
307,153500,40.0,30.0
308,154000,40.0,30.0
309,154500,40.0,30.0
310,155000,40.0,30.0
311,155500,40.0,30.0
312,156000,40.0,30.0
313,156500,40.0,30.0
314,157000,40.0,30.0
315,157500,40.0,30.0
316,158000,40.0,30.0
317,158500,40.0,30.0
318,159000,40.0,30.0
319,159500,40.0,30.0
320,160000,40.0,30.0
321,160500,40.0,30.0
322,161000,40.0,30.0
323,161500,40.0,30.0
324,162000,40.0,30.0
325,162500,40.0,30.0
326,163000,40.0,30.0
327,163500,40.0,30.0
328,164000,40.0,30.0
329,164500,40.0,30.0
330,165000,40.0,30.0
331,165500,40.0,30.0
332,166000,40.0,30.0
333,166500,40.0,30.0
334,167000,40.0,30.0
335,167500,40.0,30.0
336,168000,40.0,30.0
337,168500,40.0,30.0
338,169000,40.0,30.0
339,169500,40.0,30.0
340,170000,40.0,30.0
341,170500,40.0,30.0
342,171000,40.0,30.0
343,171500,40.0,30.0
344,172000,40.0,30.0
345,172500,40.0,30.0
346,173000,40.0,30.0
347,173500,40.0,30.0
348,174000,40.0,30.0
349,174500,40.0,30.0
350,175000,40.0,30.0
351,175500,40.0,30.0
352,176000,40.0,30.0
353,176500,40.0,30.0
354,177000,40.0,30.0
355,177500,40.0,30.0
356,178000,40.0,30.0
357,178500,40.0,30.0
358,179000,40.0,30.0
359,179500,40.0,30.0
360,180000,40.0,30.0
361,180500,40.0,30.0
362,181000,40.0,30.0
363,181500,40.0,30.0
364,182000,40.0,30.0
365,182500,40.0,30.0
366,183000,40.0,30.0
367,183500,40.0,30.0
368,184000,40.0,30.0
369,184500,40.0,30.0
370,185000,40.0,30.0
371,185500,40.0,30.0
372,186000,40.0,30.0
373,186500,40.0,30.0
374,187000,40.0,30.0
375,187500,40.0,30.0
376,188000,40.0,30.0
377,188500,40.0,30.0
378,189000,40.0,30.0
379,189500,40.0,30.0
380,190000,40.0,30.0
381,190500,40.0,30.0
382,191000,40.0,30.0
383,191500,40.0,30.0
384,192000,40.0,30.0
385,192500,40.0,30.0
386,193000,40.0,30.0
387,193500,40.0,30.0
388,194000,40.0,30.0
389,194500,40.0,30.0
390,195000,40.0,30.0
391,195500,40.0,30.0
392,196000,40.0,30.0
393,196500,40.0,30.0
394,197000,40.0,30.0
395,197500,40.0,30.0
396,198000,40.0,30.0
397,198500,40.0,30.0
398,199000,40.0,30.0
399,199500,40.0,30.0
400,200000,40.0,30.0
401,200500,40.0,30.0
402,201000,40.0,30.0
403,201500,40.0,30.0
404,202000,40.0,30.0
405,202500,40.0,30.0
406,203000,40.0,30.0
407,203500,40.0,30.0
408,204000,40.0,30.0
409,204500,40.0,30.0
410,205000,40.0,30.0
411,205500,40.0,30.0
412,206000,40.0,30.0
413,206500,40.0,30.0
414,207000,40.0,30.0
415,207500,40.0,30.0
416,208000,40.0,30.0
417,208500,40.0,30.0
418,209000,40.0,30.0
419,209500,40.0,30.0
420,210000,40.0,30.0
421,210500,40.0,30.0
422,211000,40.0,30.0
423,211500,40.0,30.0
424,212000,40.0,30.0
425,212500,40.0,30.0
426,213000,40.0,30.0
427,213500,40.0,30.0
428,214000,40.0,30.0
429,214500,40.0,30.0
430,215000,40.0,30.0
431,215500,40.0,30.0
432,216000,40.0,30.0
433,216500,40.0,30.0
434,217000,40.0,30.0
435,217500,40.0,30.0
436,218000,40.0,30.0
437,218500,40.0,30.0
438,219000,40.0,30.0
439,219500,40.0,30.0
440,220000,40.0,30.0
441,220500,40.0,30.0
442,221000,40.0,30.0
443,221500,40.0,30.0
444,222000,40.0,30.0
445,222500,40.0,30.0
446,223000,40.0,30.0
447,223500,40.0,30.0
448,224000,40.0,30.0
449,224500,40.0,30.0
450,225000,40.0,30.0
451,225500,40.0,30.0
452,226000,40.0,30.0
453,226500,40.0,30.0
454,227000,40.0,30.0
455,227500,40.0,30.0
456,228000,40.0,30.0
457,228500,40.0,30.0
458,229000,40.0,30.0
459,229500,40.0,30.0
460,230000,40.0,30.0
461,230500,40.0,30.0
462,231000,40.0,30.0
463,231500,40.0,30.0
464,232000,40.0,30.0
465,232500,40.0,30.0
466,233000,40.0,30.0
467,233500,40.0,30.0
468,234000,40.0,30.0
469,234500,40.0,30.0
470,235000,40.0,30.0
471,235500,40.0,30.0
472,236000,40.0,30.0
473,236500,40.0,30.0
474,237000,40.0,30.0
475,237500,40.0,30.0
476,238000,40.0,30.0
477,238500,40.0,30.0
478,239000,40.0,30.0
479,239500,40.0,30.0
480,240000,40.0,30.0
481,240500,40.0,30.0
482,241000,40.0,30.0
483,241500,40.0,30.0
484,242000,40.0,30.0
485,242500,40.0,30.0
486,243000,40.0,30.0
487,243500,40.0,30.0
488,244000,40.0,30.0
489,244500,40.0,30.0
490,245000,40.0,30.0
491,245500,40.0,30.0
492,246000,40.0,30.0
493,246500,40.0,30.0
494,247000,40.0,30.0
495,247500,40.0,30.0
496,248000,40.0,30.0
497,248500,40.0,30.0
498,249000,40.0,30.0
499,249500,40.0,30.0
500,250000,40.0,30.0
501,250500,40.0,30.0
502,251000,40.0,30.0
503,251500,40.0,30.0
504,252000,40.0,30.0
505,252500,40.0,30.0
506,253000,40.0,30.0
507,253500,40.0,30.0
508,254000,40.0,30.0
509,254500,40.0,30.0
510,255000,40.0,30.0
511,255500,40.0,30.0
512,256000,40.0,30.0
513,256500,40.0,30.0
514,257000,40.0,30.0
515,257500,40.0,30.0
516,258000,40.0,30.0
517,258500,40.0,30.0
518,259000,40.0,30.0
519,259500,40.0,30.0
520,260000,40.0,30.0
521,260500,40.0,30.0
522,261000,40.0,30.0
523,261500,40.0,30.0
524,262000,40.0,30.0
525,262500,40.0,30.0
526,263000,40.0,30.0
527,263500,40.0,30.0
528,264000,40.0,30.0
529,264500,40.0,30.0
530,265000,40.0,30.0
531,265500,40.0,30.0
532,266000,40.0,30.0
533,266500,40.0,30.0
534,267000,40.0,30.0
535,267500,40.0,30.0
536,268000,40.0,30.0
537,268500,40.0,30.0
538,269000,40.0,30.0
539,269500,40.0,30.0
