,Time (ms),Reference Temperature (C),Control (percent)
1062,531000,40.0,30.0
1063,531500,40.0,30.0
1064,532000,40.0,30.0
1065,532500,40.0,30.0
1066,533000,40.0,30.0
1067,533500,40.0,30.0
1068,534000,40.0,30.0
1069,534500,40.0,30.0
1070,535000,40.0,30.0
1071,535500,40.0,30.0
1072,536000,40.0,30.0
1073,536500,40.0,30.0
1074,537000,40.0,30.0
1075,537500,40.0,30.0
1076,538000,40.0,30.0
1077,538500,40.0,30.0
1078,539000,40.0,30.0
1079,539500,40.0,30.0
1080,540000,40.0,30.0
1081,540500,40.0,30.0
1082,541000,40.0,30.0
1083,541500,40.0,30.0
1084,542000,40.0,30.0
1085,542500,40.0,30.0
1086,543000,40.0,30.0
1087,543500,40.0,30.0
1088,544000,40.0,30.0
1089,544500,40.0,30.0
1090,545000,40.0,30.0
1091,545500,40.0,30.0
1092,546000,40.0,30.0
1093,546500,40.0,30.0
1094,547000,40.0,30.0
1095,547500,40.0,30.0
1096,548000,40.0,30.0
1097,548500,40.0,30.0
1098,549000,40.0,30.0
1099,549500,40.0,30.0
1100,550000,40.0,30.0
1101,550500,40.0,30.0
1102,551000,40.0,30.0
1103,551500,40.0,30.0
1104,552000,40.0,30.0
1105,552500,40.0,30.0
1106,553000,40.0,30.0
1107,553500,40.0,30.0
1108,554000,40.0,30.0
1109,554500,40.0,30.0
1110,555000,40.0,30.0
1111,555500,40.0,30.0
1112,556000,40.0,30.0
1113,556500,40.0,30.0
1114,557000,40.0,30.0
1115,557500,40.0,30.0
1116,558000,40.0,30.0
1117,558500,40.0,30.0
1118,559000,40.0,30.0
1119,559500,40.0,30.0
1120,560000,40.0,30.0
1121,560500,40.0,30.0
1122,561000,40.0,30.0
1123,561500,40.0,30.0
1124,562000,40.0,30.0
1125,562500,40.0,30.0
1126,563000,40.0,30.0
1127,563500,40.0,30.0
1128,564000,40.0,30.0
1129,564500,40.0,30.0
1130,565000,40.0,30.0
1131,565500,40.0,30.0
1132,566000,40.0,30.0
1133,566500,40.0,30.0
1134,567000,40.0,30.0
1135,567500,40.0,30.0
1136,568000,40.0,30.0
1137,568500,40.0,30.0
1138,569000,40.0,30.0
1139,569500,40.0,30.0
1140,570000,40.0,30.0
1141,570500,40.0,30.0
1142,571000,40.0,30.0
1143,571500,40.0,30.0
1144,572000,40.0,30.0
1145,572500,40.0,30.0
1146,573000,40.0,30.0
1147,573500,40.0,30.0
1148,574000,40.0,30.0
1149,574500,40.0,30.0
1150,575000,40.0,30.0
1151,575500,40.0,30.0
1152,576000,40.0,30.0
1153,576500,40.0,30.0
1154,577000,40.0,30.0
1155,577500,40.0,30.0
1156,578000,40.0,30.0
1157,578500,40.0,30.0
1158,579000,40.0,30.0
1159,579500,40.0,30.0
1160,580000,40.0,30.0
1161,580500,40.0,30.0
1162,581000,40.0,30.0
1163,581500,40.0,30.0
1164,582000,40.0,30.0
1165,582500,40.0,30.0
1166,583000,40.0,30.0
1167,583500,40.0,30.0
1168,584000,40.0,30.0
1169,584500,40.0,30.0
1170,585000,40.0,30.0
1171,585500,40.0,30.0
1172,586000,40.0,30.0
1173,586500,40.0,30.0
1174,587000,40.0,30.0
1175,587500,40.0,30.0
1176,588000,40.0,30.0
1177,588500,40.0,30.0
1178,589000,40.0,30.0
1179,589500,40.0,30.0
1180,590000,40.0,30.0
1181,590500,40.0,30.0
1182,591000,40.0,30.0
1183,591500,40.0,30.0
1184,592000,40.0,30.0
1185,592500,40.0,30.0
1186,593000,40.0,30.0
1187,593500,40.0,30.0
1188,594000,40.0,30.0
1189,594500,40.0,30.0
1190,595000,40.0,30.0
1191,595500,40.0,30.0
1192,596000,40.0,30.0
1193,596500,40.0,30.0
1194,597000,40.0,30.0
1195,597500,40.0,30.0
1196,598000,40.0,30.0
1197,598500,40.0,30.0
1198,599000,40.0,30.0
1199,599500,40.0,30.0
1200,600000,40.0,30.0
1201,600500,40.0,30.0
1202,601000,40.0,30.0
1203,601500,40.0,30.0
1204,602000,40.0,30.0
1205,602500,40.0,30.0
1206,603000,40.0,30.0
1207,603500,40.0,30.0
1208,604000,40.0,30.0
1209,604500,40.0,30.0
1210,605000,40.0,30.0
1211,605500,40.0,30.0
1212,606000,40.0,30.0
1213,606500,40.0,30.0
1214,607000,40.0,30.0
1215,607500,40.0,30.0
1216,608000,40.0,30.0
1217,608500,40.0,30.0
1218,609000,40.0,30.0
1219,609500,40.0,30.0
1220,610000,40.0,30.0
1221,610500,40.0,30.0
1222,611000,40.0,30.0
1223,611500,40.0,30.0
1224,612000,40.0,30.0
1225,612500,40.0,30.0
1226,613000,40.0,30.0
1227,613500,40.0,30.0
1228,614000,40.0,30.0
1229,614500,40.0,30.0
1230,615000,40.0,30.0
1231,615500,40.0,30.0
1232,616000,40.0,30.0
1233,616500,40.0,30.0
1234,617000,40.0,30.0
1235,617500,40.0,30.0
1236,618000,40.0,30.0
1237,618500,40.0,30.0
1238,619000,40.0,30.0
1239,619500,40.0,30.0
1240,620000,40.0,30.0
1241,620500,40.0,30.0
1242,621000,40.0,30.0
1243,621500,40.0,30.0
1244,622000,40.0,30.0
1245,622500,40.0,30.0
1246,623000,40.0,30.0
1247,623500,40.0,30.0
1248,624000,40.0,30.0
1249,624500,40.0,30.0
1250,625000,40.0,30.0
1251,625500,40.0,30.0
1252,626000,40.0,30.0
1253,626500,40.0,30.0
1254,627000,40.0,30.0
1255,627500,40.0,30.0
1256,628000,40.0,30.0
1257,628500,40.0,30.0
1258,629000,40.0,30.0
1259,629500,40.0,30.0
1260,630000,40.0,30.0
1261,630500,40.0,30.0
1262,631000,40.0,30.0
1263,631500,40.0,30.0
1264,632000,40.0,30.0
1265,632500,40.0,30.0
1266,633000,40.0,30.0
1267,633500,40.0,30.0
1268,634000,40.0,30.0
1269,634500,40.0,30.0
1270,635000,40.0,30.0
1271,635500,40.0,30.0
1272,636000,40.0,30.0
1273,636500,40.0,30.0
1274,637000,40.0,30.0
1275,637500,40.0,30.0
1276,638000,40.0,30.0
1277,638500,40.0,30.0
1278,639000,40.0,30.0
1279,639500,40.0,30.0
1280,640000,40.0,30.0
1281,640500,40.0,30.0
1282,641000,40.0,30.0
1283,641500,40.0,30.0
1284,642000,40.0,30.0
1285,642500,40.0,30.0
1286,643000,40.0,30.0
1287,643500,40.0,30.0
1288,644000,40.0,30.0
1289,644500,40.0,30.0
1290,645000,40.0,30.0
1291,645500,40.0,30.0
1292,646000,40.0,30.0
1293,646500,40.0,30.0
1294,647000,40.0,30.0
1295,647500,40.0,30.0
1296,648000,40.0,30.0
1297,648500,40.0,30.0
1298,649000,40.0,30.0
1299,649500,40.0,30.0
1300,650000,40.0,30.0
1301,650500,40.0,30.0
1302,651000,40.0,30.0
1303,651500,40.0,30.0
1304,652000,40.0,30.0
1305,652500,40.0,30.0
1306,653000,40.0,30.0
1307,653500,40.0,30.0
1308,654000,40.0,30.0
1309,654500,40.0,30.0
1310,655000,40.0,30.0
1311,655500,40.0,30.0
1312,656000,40.0,30.0
1313,656500,40.0,30.0
1314,657000,40.0,30.0
1315,657500,40.0,30.0
1316,658000,40.0,30.0
1317,658500,40.0,30.0
1318,659000,40.0,30.0
1319,659500,40.0,30.0
1320,660000,40.0,30.0
1321,660500,40.0,30.0
1322,661000,40.0,30.0
1323,661500,40.0,30.0
1324,662000,40.0,30.0
1325,662500,40.0,30.0
1326,663000,40.0,30.0
1327,663500,40.0,30.0
1328,664000,40.0,30.0
1329,664500,40.0,30.0
1330,665000,40.0,30.0
1331,665500,40.0,30.0
1332,666000,40.0,30.0
1333,666500,40.0,30.0
1334,667000,40.0,30.0
1335,667500,40.0,30.0
1336,668000,40.0,30.0
1337,668500,40.0,30.0
1338,669000,40.0,30.0
1339,669500,40.0,30.0
1340,670000,40.0,30.0
1341,670500,40.0,30.0
1342,671000,40.0,30.0
1343,671500,40.0,30.0
1344,672000,40.0,30.0
1345,672500,40.0,30.0
1346,673000,40.0,30.0
1347,673500,40.0,30.0
1348,674000,40.0,30.0
1349,674500,40.0,30.0
1350,675000,40.0,30.0
1351,675500,40.0,30.0
1352,676000,40.0,30.0
1353,676500,40.0,30.0
1354,677000,40.0,30.0
1355,677500,40.0,30.0
1356,678000,40.0,30.0
1357,678500,40.0,30.0
1358,679000,40.0,30.0
1359,679500,40.0,30.0
1360,680000,40.0,30.0
1361,680500,40.0,30.0
1362,681000,40.0,30.0
1363,681500,40.0,30.0
1364,682000,40.0,30.0
1365,682500,40.0,30.0
1366,683000,40.0,30.0
1367,683500,40.0,30.0
1368,684000,40.0,30.0
1369,684500,40.0,30.0
1370,685000,40.0,30.0
1371,685500,40.0,30.0
1372,686000,40.0,30.0
1373,686500,40.0,30.0
1374,687000,40.0,30.0
1375,687500,40.0,30.0
1376,688000,40.0,30.0
1377,688500,40.0,30.0
1378,689000,40.0,30.0
1379,689500,40.0,30.0
1380,690000,40.0,30.0
1381,690500,40.0,30.0
1382,691000,40.0,30.0
1383,691500,40.0,30.0
1384,692000,40.0,30.0
1385,692500,40.0,30.0
1386,693000,40.0,30.0
1387,693500,40.0,30.0
1388,694000,40.0,30.0
1389,694500,40.0,30.0
1390,695000,40.0,30.0
1391,695500,40.0,30.0
1392,696000,40.0,30.0
1393,696500,40.0,30.0
1394,697000,40.0,30.0
1395,697500,40.0,30.0
1396,698000,40.0,30.0
1397,698500,40.0,30.0
1398,699000,40.0,30.0
1399,699500,40.0,30.0
1400,700000,40.0,30.0
1401,700500,40.0,30.0
1402,701000,40.0,30.0
1403,701500,40.0,30.0
1404,702000,40.0,30.0
1405,702500,40.0,30.0
1406,703000,40.0,30.0
1407,703500,40.0,30.0
1408,704000,40.0,30.0
1409,704500,40.0,30.0
1410,705000,40.0,30.0
1411,705500,40.0,30.0
1412,706000,40.0,30.0
1413,706500,40.0,30.0
1414,707000,40.0,30.0
1415,707500,40.0,30.0
1416,708000,40.0,30.0
1417,708500,40.0,30.0
1418,709000,40.0,30.0
1419,709500,40.0,30.0
1420,710000,40.0,30.0
1421,710500,40.0,30.0
1422,711000,40.0,30.0
1423,711500,40.0,30.0
1424,712000,40.0,30.0
1425,712500,40.0,30.0
1426,713000,40.0,30.0
1427,713500,40.0,30.0
1428,714000,40.0,30.0
1429,714500,40.0,30.0
1430,715000,40.0,30.0
1431,715500,40.0,30.0
1432,716000,40.0,30.0
1433,716500,40.0,30.0
1434,717000,40.0,30.0
1435,717500,40.0,30.0
1436,718000,40.0,30.0
1437,718500,40.0,30.0
1438,719000,40.0,30.0
1439,719500,40.0,30.0
1440,720000,40.0,30.0
