Index,Time (ms),Temperature (C),pwm_controller (percent)
00184,000092000,035.75,030.00
00185,000092500,035.75,030.00
00186,000093000,036.00,030.00
00187,000093500,036.00,030.00
00188,000094000,036.00,030.00
00189,000094500,036.00,030.00
00190,000095000,036.00,030.00
00191,000095500,036.00,030.00
00192,000096000,036.00,030.00
00193,000096500,036.00,030.00
00194,000097000,037.00,030.00
00195,000097500,037.00,030.00
00196,000098000,037.25,030.00
00197,000098500,037.25,030.00
00198,000099000,037.75,030.00
00199,000099500,037.75,030.00
00200,000100000,037.75,030.00
00201,000100500,038.25,030.00
00202,000101000,038.25,030.00
00203,000101500,038.50,030.00
00204,000102000,038.50,030.00
00205,000102500,038.50,030.00
00206,000103000,038.75,030.00
00207,000103500,038.75,030.00
00208,000104000,039.00,030.00
00209,000104500,039.00,030.00
00210,000105000,039.00,030.00
00211,000105500,039.25,030.00
00212,000106000,039.25,030.00
00213,000106500,040.00,030.00
00214,000107000,040.00,030.00
00215,000107500,040.25,030.00
00216,000108000,040.25,030.00
00217,000108500,040.25,030.00
00218,000109000,040.25,030.00
00219,000109500,040.25,030.00
00220,000110000,041.00,030.00
00221,000110500,041.00,030.00
00222,000111000,041.00,030.00
00223,000111500,041.00,030.00
00224,000112000,041.00,030.00
00225,000112500,041.50,030.00
00226,000113000,041.50,030.00
00227,000113500,041.50,030.00
00228,000114000,042.00,030.00
00229,000114500,042.00,030.00
00230,000115000,042.75,030.00
00231,000115500,042.75,030.00
00232,000116000,043.00,030.00
00233,000116500,043.00,030.00
00234,000117000,043.00,030.00
00235,000117500,043.50,030.00
00236,000118000,043.50,030.00
00237,000118500,043.50,030.00
00238,000119000,043.50,030.00
00239,000119500,043.50,030.00
00240,000120000,044.00,030.00
00241,000120500,044.00,030.00
00242,000121000,044.25,030.00
00243,000121500,044.25,030.00
00244,000122000,044.50,030.00
00245,000122500,044.50,030.00
00246,000123000,044.50,030.00
00247,000123500,045.25,030.00
00248,000124000,045.25,030.00
00249,000124500,045.25,030.00
00250,000125000,045.25,030.00
00251,000125500,045.25,030.00
00252,000126000,045.50,030.00
00253,000126500,045.50,030.00
00254,000127000,045.75,030.00
00255,000127500,045.75,030.00
00256,000128000,045.75,030.00
00257,000128500,046.50,030.00
00258,000129000,046.50,030.00
00259,000129500,046.75,030.00
00260,000130000,046.75,030.00
00261,000130500,047.25,030.00
00262,000131000,047.25,030.00
00263,000131500,047.25,030.00
