Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000001,012.25,08.08,100.00,0,050.00
00001,000000500,012.25,08.08,100.00,0,050.00
00002,000001000,012.50,08.08,100.00,0,050.00
00003,000001500,012.75,08.08,100.00,0,050.00
00004,000002000,012.75,08.08,100.00,0,050.00
00005,000002500,012.50,08.07,100.00,0,050.00
00006,000003000,012.25,08.07,100.00,0,050.00
00007,000003500,012.75,08.07,094.71,0,050.00
00008,000004000,012.75,08.07,100.00,0,050.00
00009,000004500,013.00,08.06,100.00,0,050.00
00010,000005000,013.00,08.06,100.00,0,050.00
00011,000005500,013.00,08.06,100.00,0,050.00
00012,000006000,012.50,08.06,100.00,0,050.00
00013,000006500,013.00,08.05,096.19,0,050.00
00014,000007000,013.00,08.04,100.00,0,050.00
00015,000007500,013.00,08.04,100.00,0,050.00
00016,000008000,012.50,08.04,100.00,0,050.00
00017,000008500,013.25,08.03,086.92,0,050.00
00018,000009000,013.50,08.04,100.00,0,050.00
00019,000009500,013.50,08.04,100.00,0,050.00
00020,000010000,013.00,08.02,100.00,0,050.00
00021,000010500,013.75,08.02,086.89,0,050.00
00022,000011000,014.00,08.03,100.00,0,050.00
00023,000011500,014.00,08.03,100.00,0,050.00
00024,000012000,014.00,08.01,100.00,0,050.00
00025,000012500,013.50,08.01,100.00,0,050.00
00026,000013000,014.50,08.01,076.44,0,050.00
00027,000013500,014.50,08.01,100.00,0,050.00
00028,000014000,014.25,08.01,100.00,0,050.00
00029,000014500,015.00,07.99,086.00,0,050.00
00030,000015000,015.00,08.00,100.00,0,050.00
00031,000015500,015.00,08.00,100.00,0,050.00
00032,000016000,015.50,07.99,095.54,0,050.00
00033,000016500,015.25,07.99,100.00,0,050.00
00034,000017000,015.50,07.98,100.00,0,050.00
00035,000017500,015.50,07.98,100.00,0,050.00
00036,000018000,015.25,07.98,100.00,0,050.00
00037,000018500,016.00,07.98,085.77,0,050.00
00038,000019000,016.25,07.96,100.00,0,050.00
00039,000019500,016.25,07.96,100.00,0,050.00
00040,000020000,017.00,07.97,083.77,0,050.00
00041,000020500,017.50,07.96,092.60,0,050.00
00042,000021000,017.00,07.96,100.00,0,050.00
00043,000021500,017.00,07.96,100.00,0,050.00
00044,000022000,017.75,07.97,082.83,0,050.00
00045,000022500,017.75,07.94,100.00,0,050.00
00046,000023000,017.75,07.94,100.00,0,050.00
00047,000023500,019.00,07.96,060.03,0,050.00
00048,000024000,019.25,07.96,099.59,0,050.00
00049,000024500,019.75,07.97,088.39,0,050.00
00050,000025000,019.75,07.97,100.00,0,050.00
00051,000025500,020.25,07.96,087.50,0,050.00
00052,000026000,020.75,07.96,086.29,0,050.00
00053,000026500,021.25,07.94,085.08,0,050.00
00054,000027000,021.25,07.94,100.00,0,050.00
00055,000027500,021.75,07.93,084.14,0,050.00
00056,000028000,022.00,07.93,093.67,0,050.00
00057,000028500,022.25,07.92,093.20,0,050.00
00058,000029000,022.25,07.92,100.00,0,050.00
00059,000029500,023.00,07.92,071.50,0,050.00
00060,000030000,024.00,07.93,058.76,0,050.00
00061,000030500,000.00,07.91,100.00,0,050.00
