Index,Time (ms),Temperature (C),pwm_controller (percent)
00000,000000000,000.00,000.00
00001,000000500,029.00,000.00
00002,000001000,029.00,000.00
00003,000001500,028.75,000.00
00004,000002000,028.75,000.00
00005,000002500,028.75,000.00
00006,000003000,028.75,000.00
00007,000003500,028.75,000.00
00008,000004000,028.25,000.00
00009,000004500,028.25,000.00
00010,000005000,028.50,000.00
00011,000005500,028.50,000.00
00012,000006000,028.50,000.00
00013,000006500,029.00,000.00
00014,000007000,029.00,000.00
00015,000007500,029.00,000.00
00016,000008000,029.00,000.00
00017,000008500,028.00,000.00
00018,000009000,028.00,000.00
00019,000009500,028.00,000.00
00020,000010000,029.00,000.00
00021,000010500,029.00,000.00
00022,000011000,028.75,000.00
00023,000011500,028.75,000.00
00024,000012000,028.75,000.00
00025,000012500,028.75,000.00
00026,000013000,028.75,000.00
00027,000013500,028.00,000.00
00028,000014000,028.00,000.00
00029,000014500,028.00,000.00
00030,000015000,028.75,000.00
00031,000015500,028.75,000.00
00032,000016000,028.75,000.00
00033,000016500,028.75,000.00
00034,000017000,028.50,000.00
00035,000017500,028.50,000.00
00036,000018000,028.50,000.00
00037,000018500,028.25,000.00
00038,000019000,028.25,000.00
00039,000019500,028.50,000.00
