Index,Time (ms),Temperature (C),pwm_controller (percent)
00040,000020000,028.50,000.00
00041,000020500,028.50,000.00
00042,000021000,028.75,000.00
00043,000021500,028.75,000.00
00044,000022000,028.75,000.00
00045,000022500,028.75,000.00
00046,000023000,028.75,000.00
00047,000023500,028.75,000.00
00048,000024000,028.75,000.00
00049,000024500,028.75,000.00
00050,000025000,028.75,000.00
00051,000025500,029.00,000.00
00052,000026000,029.00,000.00
00053,000026500,029.00,000.00
00054,000027000,028.75,000.00
00055,000027500,028.75,000.00
00056,000028000,029.00,000.00
00057,000028500,029.00,000.00
00058,000029000,029.00,000.00
00059,000029500,028.25,000.00
00060,000030000,028.25,000.00
00061,000030500,028.75,100.00
00062,000031000,028.75,100.00
00063,000031500,029.00,100.00
00064,000032000,029.00,100.00
00065,000032500,029.00,100.00
00066,000033000,028.75,100.00
00067,000033500,028.75,100.00
00068,000034000,029.00,100.00
00069,000034500,029.00,100.00
00070,000035000,029.00,100.00
00071,000035500,028.50,100.00
00072,000036000,028.50,100.00
00073,000036500,028.75,100.00
00074,000037000,028.75,100.00
00075,000037500,028.75,100.00
00076,000038000,028.75,100.00
00077,000038500,028.75,100.00
00078,000039000,028.50,100.00
00079,000039500,028.50,100.00
00080,000040000,028.75,100.00
00081,000040500,028.75,100.00
00082,000041000,028.75,100.00
00083,000041500,028.50,100.00
00084,000042000,028.50,100.00
00085,000042500,028.75,100.00
00086,000043000,028.75,100.00
00087,000043500,028.75,100.00
00088,000044000,029.00,100.00
00089,000044500,029.00,100.00
00090,000045000,029.25,100.00
00091,000045500,029.25,100.00
00092,000046000,029.50,100.00
00093,000046500,029.50,100.00
00094,000047000,029.50,100.00
00095,000047500,029.25,100.00
00096,000048000,029.25,100.00
00097,000048500,029.50,100.00
00098,000049000,029.50,100.00
00099,000049500,029.50,100.00
00100,000050000,029.50,100.00
00101,000050500,029.50,100.00
00102,000051000,030.00,100.00
00103,000051500,030.00,100.00
00104,000052000,030.00,100.00
00105,000052500,029.75,100.00
00106,000053000,029.75,100.00
00107,000053500,030.00,100.00
00108,000054000,030.00,100.00
00109,000054500,030.25,100.00
00110,000055000,030.25,100.00
00111,000055500,030.25,100.00
00112,000056000,030.75,100.00
00113,000056500,030.75,100.00
00114,000057000,031.25,100.00
00115,000057500,031.25,100.00
00116,000058000,031.25,100.00
00117,000058500,031.50,100.00
00118,000059000,031.50,100.00
00119,000059500,032.25,100.00
00120,000060000,032.25,100.00
