Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open,Reference temperature (C)
00000,000000000,021.50,13.43,100.00,0,050.00
00001,000000500,021.50,13.43,086.03,0,050.00
00002,000001000,021.50,13.43,086.32,0,050.00
00003,000001500,020.25,13.45,100.00,0,050.00
00004,000002000,020.25,13.45,090.66,0,050.00
00005,000002500,020.25,13.45,090.96,0,050.00
00006,000003000,020.50,13.46,080.50,0,050.00
00007,000003500,020.50,13.46,090.80,0,050.00
00008,000004000,020.50,13.49,091.09,0,050.00
00009,000004500,020.50,13.49,091.39,0,050.00
00010,000005000,020.50,13.49,091.69,0,050.00
00011,000005500,020.75,13.49,081.23,0,050.00
00012,000006000,020.75,13.49,091.52,0,050.00
00013,000006500,020.50,13.53,100.00,0,050.00
00014,000007000,020.50,13.53,092.86,0,050.00
00015,000007500,021.75,13.55,039.39,0,050.00
00016,000008000,021.75,13.55,089.67,0,050.00
00017,000008500,021.75,13.55,089.96,0,050.00
00018,000009000,021.75,13.57,090.24,0,050.00
00019,000009500,021.75,13.57,090.52,0,050.00
00020,000010000,021.50,13.59,100.00,0,050.00
00021,000010500,021.50,13.59,091.84,0,050.00
00022,000011000,021.50,13.59,092.13,0,050.00
00023,000011500,021.50,13.63,092.41,0,050.00
00024,000012000,021.50,13.63,092.70,0,050.00
00025,000012500,023.00,13.65,028.47,0,050.00
00026,000013000,023.00,13.65,088.74,0,050.00
00027,000013500,023.00,13.67,089.01,0,050.00
00028,000014000,023.00,13.67,089.28,0,050.00
00029,000014500,023.00,13.67,089.55,0,050.00
00030,000015000,024.00,13.69,046.81,0,050.00
00031,000015500,024.00,13.69,087.07,0,050.00
00032,000016000,024.00,13.71,087.33,0,050.00
00033,000016500,024.00,13.71,087.59,0,050.00
00034,000017000,024.00,13.71,087.85,0,050.00
00035,000017500,025.25,13.72,034.34,0,050.00
00036,000018000,025.25,13.72,084.59,0,050.00
00037,000018500,025.25,13.73,084.84,0,050.00
00038,000019000,025.25,13.73,085.09,0,050.00
00039,000019500,025.25,13.73,085.34,0,050.00
00040,000020000,026.00,13.75,053.33,0,050.00
00041,000020500,026.00,13.75,083.56,0,050.00
00042,000021000,026.75,13.76,051.55,0,050.00
00043,000021500,026.75,13.76,081.78,0,050.00
00044,000022000,027.75,13.77,039.00,0,050.00
00045,000022500,027.75,13.77,079.22,0,050.00
00046,000023000,027.75,13.77,079.45,0,050.00
00047,000023500,027.75,13.79,079.67,0,050.00
00048,000024000,027.75,13.79,079.89,0,050.00
00049,000024500,028.75,13.81,037.11,0,050.00
00050,000025000,028.75,13.81,077.32,0,050.00
00051,000025500,028.75,13.81,077.53,0,050.00
00052,000026000,028.75,13.80,077.74,0,050.00
00053,000026500,028.75,13.80,077.95,0,050.00
00054,000027000,028.75,13.83,078.17,0,050.00
00055,000027500,028.75,13.83,078.38,0,050.00
00056,000028000,031.00,13.89,000.00,0,050.00
00057,000028500,031.00,13.89,072.01,0,050.00
00058,000029000,031.00,13.89,072.20,0,050.00
00059,000029500,031.25,13.88,061.64,0,050.00
00060,000030000,031.25,13.88,071.83,0,050.00
00061,000030500,032.50,13.90,018.25,0,050.00
00062,000031000,032.50,13.90,068.42,0,050.00
00063,000031500,032.50,13.90,068.60,0,050.00
00064,000032000,034.25,13.92,000.00,0,050.00
00065,000032500,034.25,13.92,063.66,0,050.00
00066,000033000,033.75,13.93,085.33,0,050.00
00067,000033500,033.75,13.93,065.49,0,050.00
00068,000034000,033.75,13.93,065.65,0,050.00
00069,000034500,034.25,13.96,044.31,0,050.00
00070,000035000,034.25,13.96,064.47,0,050.00
00071,000035500,035.50,13.95,010.86,0,050.00
00072,000036000,035.50,13.95,061.01,0,050.00
00073,000036500,036.25,13.97,028.89,0,050.00
00074,000037000,036.25,13.97,059.03,0,050.00
00075,000037500,036.25,13.97,059.17,0,050.00
00076,000038000,037.25,13.96,016.30,0,050.00
00077,000038500,037.25,13.96,056.42,0,050.00
00078,000039000,038.50,13.97,002.79,0,050.00
00079,000039500,038.50,13.97,052.91,0,050.00
00080,000040000,038.50,13.97,053.02,0,050.00
00081,000040500,038.75,13.98,042.38,0,050.00
00082,000041000,038.75,13.98,052.50,0,050.00
00083,000041500,040.25,13.98,000.00,0,050.00
00084,000042000,040.25,13.98,048.19,0,050.00
00085,000042500,040.25,14.00,048.29,0,050.00
00086,000043000,040.25,14.00,048.39,0,050.00
00087,000043500,040.25,14.00,048.48,0,050.00
00088,000044000,041.75,14.00,000.00,0,050.00
00089,000044500,041.75,14.00,044.15,0,050.00
00090,000045000,041.75,14.01,044.23,0,050.00
00091,000045500,041.75,14.01,044.31,0,050.00
00092,000046000,041.75,14.01,044.39,0,050.00
00093,000046500,042.50,14.00,012.22,0,050.00
00094,000047000,042.50,14.00,042.30,0,050.00
00095,000047500,043.50,14.02,000.00,0,050.00
00096,000048000,043.50,14.02,039.42,0,050.00
00097,000048500,043.50,14.02,039.49,0,050.00
00098,000049000,044.50,14.03,000.00,0,050.00
00099,000049500,044.50,14.03,036.60,0,050.00
00100,000050000,044.75,14.04,025.90,0,050.00
00101,000050500,044.75,14.04,035.95,0,050.00
00102,000051000,045.50,14.05,003.75,0,050.00
00103,000051500,045.50,14.05,033.80,0,050.00
00104,000052000,045.50,14.05,033.84,0,050.00
00105,000052500,046.50,14.07,000.00,0,050.00
00106,000053000,046.50,14.07,030.91,0,050.00
00107,000053500,049.75,14.05,000.00,0,050.00
00108,000054000,049.75,14.05,021.16,0,050.00
00109,000054500,049.75,14.05,021.17,0,050.00
00110,000055000,049.25,14.06,042.67,0,050.00
00111,000055500,049.25,14.06,022.68,0,050.00
00112,000056000,048.25,14.06,065.70,0,050.00
00113,000056500,048.25,14.06,025.72,0,050.00
00114,000057000,049.00,14.05,000.00,0,050.00
00115,000057500,049.00,14.05,023.49,0,050.00
00116,000058000,049.00,14.05,023.50,0,050.00
00117,000058500,049.25,14.04,012.75,0,050.00
00118,000059000,049.25,14.04,022.76,0,050.00
00119,000059500,049.50,14.05,012.02,0,050.00
00120,000060000,049.50,14.05,022.02,0,050.00
00121,000060500,049.50,14.05,022.03,0,050.00
00122,000061000,049.50,14.04,022.03,0,050.00
00123,000061500,049.50,14.04,022.04,0,050.00
00124,000062000,048.00,14.03,086.56,0,050.00
00125,000062500,048.00,14.03,026.58,0,050.00
00126,000063000,048.00,14.03,026.60,0,050.00
00127,000063500,051.75,14.02,000.00,0,050.00
00128,000064000,051.75,14.02,015.31,0,050.00
00129,000064500,052.50,14.03,000.00,0,050.00
00130,000065000,052.50,14.03,013.01,0,050.00
00131,000065500,052.50,14.02,012.99,0,050.00
00132,000066000,052.50,14.02,012.96,0,050.00
00133,000066500,052.50,14.02,012.94,0,050.00
00134,000067000,052.75,14.04,002.16,0,050.00
00135,000067500,052.75,14.04,012.13,0,050.00
